Post ID,POST,Share Count,comment id,TEXT,data__comments__data__like_count,data__comments__paging__cursors__before,data__comments__paging__cursors__after,paging__cursors__before,paging__cursors__after,paging__next,data__comments__data__live_broadcast_timestamp,data__sharedposts__data__id,data__sharedposts__data__name,data__sharedposts__paging__cursors__before,data__sharedposts__paging__cursors__after,data__sharedposts__paging__next,data__comments__paging__next,data__comments__data__reactions__data__id,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback from Users by Type - hide_clicks,Lifetime Negative Feedback from Users by Type - report_spam_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_clicks,Lifetime Negative Feedback by Type - report_spam_clicks
109037004060247_180497573580856,IMPORTANTE.,27,180497573580856_180498203580793,"PARA ALUMNOS.Secundaria Técnica 16 - Taller estudiantes\nHora: 2 oct 2020 09:00 AM Ciudad de México\n\nUnirse a la reunión Zoom\nhttps://zoom.us/j/94504387986?pwd=WlErR2pWMVRKRmgwbUpZeHpadk8wdz09\n\nID de reunión: 945 0438 7986\nCódigo de acceso: FORTASEG20\nMóvil con un toque\n+525568269800,,94504387986#,,,,,,0#,,4157825675# México\n+525586596001,,94504387986#,,,,,,0#,,4157825675# México\n\nMarcar según su ubicación\n +52 556 826 9800 México\n +52 558 659 6001 México\n +52 229 910 0061 México\n +52 554 161 4288 México\n +1 253 215 8782 Estados Unidos de América (Tacoma)\n +1 301 715 8592 Estados Unidos de América (Germantown)\n +1 312 626 6799 Estados Unidos de América (Chicago)\n +1 346 248 7799 Estados Unidos de América (Houston)\n +1 669 900 6833 Estados Unidos de América (San Jose)\n +1 929 205 6099 Estados Unidos de América (New York)\nID de reunión: 945 0438 7986\nCódigo de acceso: 4157825675\nEncuentre su número local: https://zoom.us/u/aBTVmlxPD",0,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGd3TkRrNE1qQXpOVGd3Tnprek9qRTJNREUxTmpBNU5ETT0ZD,WTI5dGJXVnVkRjlqZAFhKemIzSTZANVGd3TmpJNE1qWXdNak0wTkRVME9qRTJNREUyTURNME1qVT0ZD,Q2c4U1pXNTBYM0YxWlhKNVgzTjBiM0o1WDJsa0R5SXhNRGt3TXpjd01EUXdOakF5TkRjN01UZA3dORGszTlRjek5UZA3dPRFUyT3pzMER3eGhjR2xmYzNSdmNubGZAhV1FQSHpFd09UQXpOekF3TkRBMk1ESTBOMTh4T0RBME9UYzFOek0xT0RBNE5UWVBCSFJwYldVR1gzWGd2UUU9,Q2c4U1pXNTBYM0YxWlhKNVgzTjBiM0o1WDJsa0R5SXhNRGt3TXpjd01EUXdOakF5TkRjN01UVTJPVGM1TXpFeU5UazVNelE1T3pzMER3eGhjR2xmYzNSdmNubGZAhV1FQSHpFd09UQXpOekF3TkRBMk1ESTBOMTh4TlRZANU56a3pNVEkxT1Rrek5Ea1BCSFJwYldVR1h3U1V0d0U9,https://graph.facebook.com/v8.0/109037004060247/published_posts?access_token=EAAI6zYHYg7MBAEuCcuy8EGZBuOgfOKEjjbfBufkAtrV4s3SDvxbmNRvflwxNdr0OHti5AP05rLT41BR7VqXfj4IKAx934ZCyNZAQZAlfq4rQ5fgoamEMPRnp8ZAuaA6ZCOf018U7eERrf1zAsIbZApFc2ZB6ZBTMzZC3PCNgWgjrj4iOw9PRdxTiXi6ex3FWbrjPsZD&fields=id%2Cmessage%2Cshares%2Ccomments%7Bid%2Clive_broadcast_timestamp%2Cmessage%2Clike_count%2Creactions%7D%2Creactions%7Bid%2Cname%2Cusername%7D%2Csharedposts%7Bid%2Cmessage%2Cname%7D&limit=25&after=Q2c4U1pXNTBYM0YxWlhKNVgzTjBiM0o1WDJsa0R5SXhNRGt3TXpjd01EUXdOakF5TkRjN01UVTJPVGM1TXpFeU5UazVNelE1T3pzMER3eGhjR2xmYzNSdmNubGZAhV1FQSHpFd09UQXpOekF3TkRBMk1ESTBOMTh4TlRZANU56a3pNVEkxT1Rrek5Ea1BCSFJwYldVR1h3U1V0d0U9,,,,,,,,,13560,13560,0,18814,18814,0,219,116,137,7,7,15645,11367,0,0,187,0,0,0,0,0,0,0,0,0,0,31,118,3,31,119,3,42,80,,,53,84,,,3,4,,3,4,
,,,180497573580856_180498533580760,"PARA PADRES DE FAMILIA.SECUNDARIA TÉCNICA 16 - FAMILIAS\nHora: 2 oct 2020 06:00 PM Ciudad de México\n\nUnirse a la reunión Zoom\nhttps://zoom.us/j/99285600074?pwd=ZkJFQktET1lTUE1HZzVaL001NFRiQT09\n\nID de reunión: 992 8560 0074\nCódigo de acceso: FORTASEG20\nMóvil con un toque\n+525568269800,,99285600074#,,,,,,0#,,7221711488# México\n+525586596001,,99285600074#,,,,,,0#,,7221711488# México\n\nMarcar según su ubicación\n +52 556 826 9800 México\n +52 558 659 6001 México\n +52 229 910 0061 México\n +52 554 161 4288 México\n +1 669 900 6833 Estados Unidos de América (San Jose)\n +1 929 205 6099 Estados Unidos de América (New York)\n +1 253 215 8782 Estados Unidos de América (Tacoma)\n +1 301 715 8592 Estados Unidos de América (Germantown)\n +1 312 626 6799 Estados Unidos de América (Chicago)\n +1 346 248 7799 Estados Unidos de América (Houston)\nID de reunión: 992 8560 0074\nCódigo de acceso: 7221711488\nEncuentre su número local: https://zoom.us/u/aYAhezKfQ",1,,,,,,,,,,,,,,7837,7837,0,10101,10101,0,96,67,89,4,4,9085,7002,0,0,63,0,0,0,0,0,0,0,0,0,0,7,32,1,9,33,4,20,16,33,,25,17,47,,4,,,4,,
,,,180497573580856_180500450247235,Maria Rayas,0,,,,,,,,,,,,,,10727,10727,0,14902,14900,0,195,150,168,7,7,12896,9205,0,0,174,0,0,0,0,0,0,0,0,0,0,27,57,1,27,60,1,31,126,,,39,129,,,3,4,,3,4,
,,,180497573580856_180501820247098,Adri Ortega,0,,,,,,,,,,,,,,7937,7937,0,10836,10836,0,238,207,271,5,5,9909,7285,0,0,224,0,0,0,0,1422,1581,0,0,0,10143,,42,1,,42,2,156,77,,,191,80,,,1,4,,1,4,
,,,180497573580856_180505850246695,Renata Huerta,0,,,,,,,,,,,,,,8806,8806,0,12115,12115,0,217,144,197,5,5,8654,6167,0,0,150,0,0,0,0,0,0,0,0,0,0,25,91,7,36,91,11,74,85,,,107,90,,,2,3,,2,3,
,,,180497573580856_180513470245933,Y es obligatorio entrar alas salas,0,,,,,,,,,,,,,,9321,9321,0,12186,12186,0,543,99,124,10,10,10479,7993,0,0,145,0,0,0,0,0,0,0,0,0,0,33,414,1,36,414,1,30,74,,,48,76,,,2,8,,2,8,
,,,180497573580856_180513976912549,Angel Morales,0,,,,,,,,,,,,,,11796,11796,0,16509,16509,0,330,216,246,5,6,11419,8193,0,0,251,0,0,0,0,0,0,0,0,0,0,24,134,2,24,138,2,140,88,,,156,90,,,3,3,,2,3,
,,,180497573580856_180517376912209,PaOlitha Diaz Angel Morales,0,,,,,,,,,,,,,,7286,7286,0,9422,9422,0,88,51,56,7,7,8517,6566,0,0,70,0,0,0,0,0,0,0,0,0,0,6,38,,6,38,,25,28,,,28,28,,,4,3,,4,3,
,,,180497573580856_180520880245192,.,0,,,,,,,,,,,,,,9374,9374,0,12439,12439,0,281,193,248,2,2,8742,6686,0,0,172,216,232,0,0,2181,2439,0,0,4116,32937,36,92,4,39,93,5,91,34,,88,105,35,,108,,2,,,2,
,,,180497573580856_180527016911245,Gilda Adriana,0,,,,,,,,,,,,,,6093,6093,0,8005,8005,0,131,103,136,2,2,7187,5470,0,0,107,156,163,0,0,1126,1221,0,0,4035,25982,5,31,,5,31,,60,9,,54,69,10,,57,,2,,,2,
